time,Open,High,Low,Close,Volume,Hour,Day_of_week,Day_of_month,Month,Year,Is_asian_hours,Is_european_hours,Is_us_hours,Is_monday,Is_friday,Is_weekend
2024-10-07 01:20:00,2651.82,2652.12,2651.25,2651.33,289,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:25:00,2651.32,2652.06,2651.23,2651.45,202,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:30:00,2651.43,2651.45,2650.87,2651.44,280,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:35:00,2651.44,2651.86,2650.89,2651.22,193,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:40:00,2651.3,2651.34,2651.08,2651.16,137,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:45:00,2651.14,2651.5,2650.63,2650.64,118,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:50:00,2650.63,2651.06,2650.43,2650.67,316,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 01:55:00,2650.68,2651.13,2650.6,2650.73,83,1,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:00:00,2650.73,2650.74,2649.61,2650.06,475,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:05:00,2650.02,2651.0,2650.02,2650.5,232,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:10:00,2650.48,2651.08,2650.44,2651.0,217,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:15:00,2651.0,2651.92,2650.66,2651.83,186,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:20:00,2651.84,2652.34,2651.11,2651.11,238,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:25:00,2651.17,2651.52,2651.17,2651.31,67,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:30:00,2651.24,2651.62,2651.1,2651.13,97,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:35:00,2651.13,2651.23,2650.62,2650.88,91,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:40:00,2650.89,2651.62,2650.89,2651.22,182,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:45:00,2651.21,2651.21,2649.79,2650.2,360,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:50:00,2650.2,2650.96,2649.95,2650.94,162,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 02:55:00,2650.98,2651.12,2650.11,2650.11,198,2,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:00:00,2650.12,2650.43,2649.14,2649.23,451,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:05:00,2649.23,2649.81,2648.4,2649.71,656,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:10:00,2649.72,2650.42,2649.31,2649.49,676,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:15:00,2649.51,2650.25,2649.51,2650.09,363,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:20:00,2650.09,2650.37,2649.92,2650.16,311,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:25:00,2650.17,2650.96,2650.07,2650.85,288,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:30:00,2650.87,2650.99,2649.73,2649.87,328,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:35:00,2649.91,2650.06,2649.44,2649.65,169,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:40:00,2649.67,2649.74,2648.84,2649.08,158,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:45:00,2649.02,2649.02,2647.72,2648.22,270,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:50:00,2648.2,2649.12,2648.05,2649.05,351,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 03:55:00,2649.05,2649.93,2648.91,2649.21,427,3,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:00:00,2649.22,2651.2,2649.0,2651.15,467,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:05:00,2651.22,2651.82,2650.62,2650.63,434,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:10:00,2650.66,2650.66,2648.75,2648.86,598,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:15:00,2648.81,2650.33,2648.33,2650.13,899,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:20:00,2650.09,2650.09,2648.78,2648.78,538,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:25:00,2648.78,2649.18,2648.1,2648.81,551,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:30:00,2648.8,2650.53,2648.68,2650.33,646,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:35:00,2650.34,2651.17,2650.11,2650.55,714,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:40:00,2650.56,2650.64,2649.6,2649.6,586,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:45:00,2649.61,2650.0,2645.17,2645.63,1093,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:50:00,2645.68,2646.53,2643.71,2646.53,907,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 04:55:00,2646.58,2647.23,2645.75,2646.11,658,4,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:00:00,2646.07,2648.55,2645.66,2647.94,718,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:05:00,2647.94,2648.45,2647.29,2648.05,420,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:10:00,2648.14,2648.24,2647.33,2647.85,468,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:15:00,2647.87,2648.51,2647.14,2647.63,506,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:20:00,2647.64,2647.91,2646.13,2646.64,699,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:25:00,2646.65,2647.09,2646.32,2646.62,696,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:30:00,2646.6,2647.86,2646.58,2647.77,831,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:35:00,2647.76,2648.19,2647.02,2648.03,601,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:40:00,2648.02,2648.04,2645.98,2646.35,378,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:45:00,2646.35,2647.08,2646.08,2647.01,433,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:50:00,2647.02,2647.37,2646.25,2646.37,316,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 05:55:00,2646.37,2646.37,2645.15,2645.16,558,5,0,7,10,2024,1,0,0,1,0,0
2024-10-07 06:00:00,2645.15,2646.51,2645.03,2646.41,282,6,0,7,10,2024,1,0,0,1,0,0
2024-10-07 06:05:00,2646.42,2646.64,2645.62,2646.13,325,6,0,7,10,2024,1,0,0,1,0,0
2024-10-07 06:10:00,2646.12,2646.26,2645.1,2645.13,249,6,0,7,10,2024,1,0,0,1,0,0
2024-10-07 06:15:00,2645.08,2645.41,2644.82,2645.35,429,6,0,7,10,2024,1,0,0,1,0,0
2024-10-07 06:20:00,2645.35,2645.36,2644.48,2644.71,605,6,0,7,10,2024,1,0,0,1,0,0
